Team,2023 Season Wins,2023 PFF Offense,2023 PFF Defense,2023 PFF Average,2023 Opponent PFF Average,2023 Metric,2024 PFF Offense,2024 PFF Defense,2024 PFF Average,2024 Opponent PFF Average,2024 Metric
49ers,14,75.8,74.84,75.32,69.33,5.99,80.9,75.75,78.33,72.27,6.06
Bears,7,66.7,69.39,68.05,69.01,-0.97,73.4,67.88,70.64,70.83,-0.19
Bengals,9,79.4,71.52,75.46,70.21,5.25,72,65.97,68.99,70.43,-1.44
Bills,12,75.8,68.61,72.21,70.97,1.24,76.9,70.15,73.53,72.76,0.77
Broncos,8,66.3,71.28,68.79,70.52,-1.73,67.1,63.42,65.26,71.01,-5.75
Browns,11,66.1,74.77,70.44,70.35,0.09,69.2,73.73,71.47,71.08,0.39
Buccaneers,10,60,67.88,63.94,69.58,-5.64,69.2,66.83,68.02,71.04,-3.02
Cardinals,4,66.4,57.99,62.2,70.72,-8.53,70.7,63.47,67.09,72.67,-5.58
Chargers,5,75.9,65.16,70.53,70.75,-0.22,71.2,67.05,69.13,69.78,-0.66
Chiefs,15,80.2,66.54,73.37,70.71,2.66,78.4,66.91,72.66,70.44,2.22
Colts,9,67.8,62,64.9,69.14,-4.24,65.5,69.79,67.65,70.62,-2.98
Commanders,4,68.4,69.46,68.93,70.72,-1.79,69,65.48,67.24,70.25,-3.01
Cowboys,12,72.7,71.47,72.09,70.48,1.6,75.3,77.33,76.32,70.36,5.96
Dolphins,11,73.8,73.69,73.75,71.02,2.72,81.7,72.44,77.07,71.67,5.4
Eagles,11,80.9,71.94,76.42,69.99,6.43,74.8,65.67,70.24,70.45,-0.22
Falcons,7,72.1,65.66,68.88,67.77,1.11,77,68.06,72.53,69.64,2.9
Giants,6,70.9,66.48,68.69,70.86,-2.17,64.1,66.01,65.06,70.94,-5.88
Jaguars,9,71.8,63.68,67.74,69.74,-2,72.3,69.55,70.93,70.82,0.1
Jets,7,72.3,71.5,71.9,71,0.9,74,77.23,75.62,71.48,4.13
Lions,14,71.8,65.77,68.79,69.81,-1.02,82,69.59,75.8,71.02,4.77
Packers,10,73.1,68.05,70.58,69.06,1.52,73.1,67.91,70.51,71.7,-1.2
Panthers,2,72,65.33,68.67,68.61,0.05,63.1,70.43,66.77,69.8,-3.04
Patriots,4,70,70.5,70.25,71.12,-0.87,69.3,71.15,70.23,72.22,-1.99
Raiders,8,73.6,63.77,68.69,70.47,-1.79,67,72.92,69.96,70.66,-0.69
Rams,10,67.3,64.83,66.07,70.49,-4.43,78.7,65.9,72.3,72.52,-0.21
Ravens,14,75.1,72.87,73.99,70.19,3.8,77.3,74.91,76.11,70.07,6.03
Saints,9,68,68.51,68.26,67.96,0.3,73.2,69.81,71.51,69.69,1.81
Seahawks,9,73.3,67.66,70.48,70.1,0.38,74.4,72.85,73.63,71.96,1.66
Steelers,10,71.3,73.96,72.63,70.14,2.49,69.8,72.98,71.39,70.87,0.52
Texans,11,70,65.65,67.83,68.67,-0.85,72.7,67.59,70.15,71.7,-1.56
Titans,6,70.1,66.95,68.53,69.29,-0.77,67.6,65.37,66.49,70.95,-4.47
Vikings,7,75.5,66.29,70.9,70.18,0.71,70.7,70.03,70.37,71.39,-1.02
